0 49
2 48 7
34 47 2
35 43 14
36 44 4
8 15 5
13 25 8
28 49 1
13 23 8
39 44 5
37 48 12
40 43 8
38 41 3
23 44 5
19 23 3
20 25 17
25 47 17
1 21 16
5 25 8
9 11 16
39 42 4
11 28 19
17 34 17
6 45 20
18 26 4
25 36 11
6 27 1
46 47 7
31 34 16
44 48 14
15 40 19
33 42 15
14 44 19
15 22 19
3 27 8
22 38 10
13 31 14
1 8 2
7 48 15
6 12 7
18 30 2
5 47 13
3 11 15
37 39 19
13 20 9
31 45 15
24 42 3
20 34 9
31 41 17
32 46 1
46 48 20
0 3 2
22 39 20
30 39 20
40 43 9
5 36 8
47 49 19
30 36 12
13 24 9
7 40 8
36 45 18
22 46 16
29 37 8
37 41 11
42 47 19
32 46 11
12 25 20
44 45 18
37 44 1
13 38 12
13 34 17
27 37 2
46 47 5
25 35 20
30 49 14
48 49 15
37 40 8
32 36 14
24 46 10
44 47 19
32 42 20
37 48 2
45 47 4
33 40 8
27 32 19
4 15 11
43 46 2
39 43 7
10 25 8
5 20 5
37 46 1
4 38 8
16 42 10
0 1 2
1 2 6
2 4 13
4 5 1
5 6 17
6 7 9
7 9 20
9 10 7
10 13 13
13 14 16
14 16 11
16 17 19
17 18 14
18 19 9
19 29 1
29 33 5
